x(cm),x_relative,B_fit(mT)
0.0,-11.0,2.0189318411007067
0.046092184368736966,-10.953907815631263,2.040184999286458
0.09218436873747571,-10.907815631262524,2.0615672595541406
0.13827655310621267,-10.861723446893787,2.0830780448286244
0.18436873747494964,-10.81563126252505,2.1047167555098816
0.2304609218436866,-10.769539078156313,2.126482769361536
0.27655310621242535,-10.723446893787575,2.148375441403257
0.3226452905811623,-10.677354709418838,2.1703941038070473
0.3687374749498993,-10.6312625250501,2.1925380657975047
0.414829659318638,-10.585170340681362,2.2148066135560907
0.460921843687375,-10.539078156312625,2.2371990101294905
0.507014028056112,-10.492985971943888,2.2597144953421107
0.5531062124248489,-10.446893787575151,2.282352285712771
0.5991983967935877,-10.400801603206412,2.305111574375659
0.6452905811623246,-10.354709418837675,2.327991531005584
0.6913827655310616,-10.308617234468938,2.3509913017476176
0.7374749498998003,-10.2625250501002,2.3741100091511393
0.7835671342685373,-10.216432865731463,2.397346752108365
0.8296593186372743,-10.170340681362726,2.4207006057974105
0.8757515030060112,-10.124248496993989,2.444170621629929
0.92184368737475,-10.07815631262525,2.467755827203385
0.9679358717434869,-10.032064128256513,2.49145522625801
1.014028056112224,-9.985971943887776,2.515267798638498
1.0601202404809627,-9.939879759519037,2.5391925002604756
1.1062124248496996,-9.8937875751503,2.5632282630817937
1.1523046092184366,-9.847695390781563,2.5873739950787153
1.1983967935871735,-9.801603206412826,2.611628580227002
1.2444889779559123,-9.755511022044088,2.635990878487973
1.2905811623246493,-9.70941883767535,2.660459725799572
1.3366733466933862,-9.663326653306614,2.685033934072481
1.3827655310621232,-9.617234468937877,2.709712291191324
1.428857715430862,-9.571142284569138,2.734493561020998
1.474949899799599,-9.525050100200401,2.7593764834181704
1.5210420841683359,-9.478957915831664,2.7843597742479846
1.5671342685370746,-9.432865731462925,2.8094421254060022
1.6132264529058116,-9.386773547094188,2.834622204845414
1.6593186372745485,-9.340681362725451,2.8598986566095705
1.7054108216432873,-9.294589178356713,2.8852701008698407
1.7515030060120242,-9.248496993987976,2.910735133968842
1.7975951903807612,-9.202404809619239,2.936292328469077
1.8436873747494982,-9.156312625250502,2.961940233206986
1.889779559118237,-9.110220440881763,2.987677373352459
1.9358717434869739,-9.064128256513026,3.01350225047382
1.9819639278557108,-9.01803607214429,3.039413342608324
2.028056112224448,-8.971943887775552,3.065409104338165
2.0741482965931866,-8.925851703406813,3.091487966872035
2.1202404809619235,-8.879759519038076,3.1176483381322444
2.1663326653306605,-8.83366733466934,3.1438886028474244
2.2124248496993992,-8.7875751503006,3.1702071226508313
2.258517034068136,-8.741482965931864,3.1966022361842494
2.304609218436873,-8.695390781563127,3.2230722592075387
2.350701402805612,-8.649298597194388,3.2496154847138032
2.396793587174349,-8.603206412825651,3.276230183050216
2.442885771543086,-8.557114228456914,3.302914602044491
2.4889779559118246,-8.511022044088175,3.329666967137033
2.5350701402805615,-8.464929859719438,3.3564854815187317
2.5811623246492985,-8.418837675350701,3.3833683262744545
2.6272545090180355,-8.372745490981965,3.4103136605321893
2.6733466933867724,-8.326653306613228,3.4373196216178794
2.719438877755511,-8.280561122244489,3.4643843252159168
2.765531062124248,-8.234468937875752,3.491505865535315
2.811623246492985,-8.188376753507015,3.518682315481549
2.857715430861724,-8.142284569138276,3.5459117268340448
2.903807615230461,-8.09619238476954,3.573192130429333
2.949899799599198,-8.050100200400802,3.6005215363498317
2.9959919839679365,-8.004008016032063,3.6278979341182787
3.0420841683366735,-7.9579158316633265,3.6553192928977576
3.0881763527054105,-7.9118236472945895,3.682783561697354
3.1342685370741483,-7.865731462925852,3.7102886695833814
3.180360721442886,-7.819639278557114,3.737832525896181
3.226452905811623,-7.773547094188377,3.765413020472476
3.27254509018036,-7.72745490981964,3.7930280238732537
3.318637274549098,-7.681362725450902,3.820675387617148
3.364729458917836,-7.635270541082164,3.8483529444193114
3.410821643286573,-7.589178356713427,3.8760585084357286
3.4569138276553106,-7.543086172344689,3.903789875512981
3.5030060120240485,-7.4969939879759515,3.9315448234433736
3.5490981963927855,-7.4509018036072145,3.9593211122254623
3.5951903807615224,-7.404809619238478,3.9871164843298823
3.6412825651302603,-7.35871743486974,4.014928664970498
3.687374749498998,-7.312625250501002,4.0427553623808
3.733466933867735,-7.266533066132265,4.070594268095519
3.779559118236473,-7.220440881763527,4.098443057237441
3.825651302605211,-7.174348697394789,4.126299388809338
3.8717434869739478,-7.128256513026052,4.154160905991019
3.9178356713426847,-7.082164328657315,4.18202523644141
3.9639278557114226,-7.036072144288577,4.209889992605655
4.01002004008016,-6.98997995991984,4.237752772027166
4.056112224448897,-6.943887775551103,4.2656111576645825
4.102204408817635,-6.897795591182365,4.293462718213574
4.148296593186372,-6.851703406813628,4.321305008433466
4.19438877755511,-6.80561122244489,4.349135569478585
4.240480961923847,-6.759519038076153,4.37695192923431
4.286573146292585,-6.713426853707415,4.404751602657751
4.332665330661323,-6.667334669338677,4.432532092122997
4.37875751503006,-6.62124248496994,4.460290887770868
4.424849699398798,-6.575150300601202,4.488025467863128
4.4709418837675345,-6.5290581162324655,4.515733299141065
4.517034068136272,-6.482965931863728,4.543411837188389
4.563126252505009,-6.436873747494991,4.57105852679839
4.609218436873747,-6.390781563126253,4.598670802345258
4.655310621242485,-6.344689378757515,4.626246088159526
4.701402805611222,-6.298597194388778,4.653781798907533
4.74749498997996,-6.25250501002004,4.681275339974871
4.793587174348697,-6.206412825651303,4.70872410785369
4.839679358717435,-6.160320641282565,4.736125490533845
4.885771543086172,-6.114228456913828,4.7634768678977535
4.9318637274549095,-6.0681362725450905,4.790775612118914
4.977955911823647,-6.022044088176353,4.818019088063998
5.024048096192384,-5.975951903807616,4.845204653698434
5.070140280561122,-5.929859719438878,4.872329660495391
5.116232464929859,-5.883767535070141,4.899391453848095
5.162324649298597,-5.837675350701403,4.926387373485375
5.208416833667334,-5.791583166332666,4.953314753890361
5.254509018036072,-5.745490981963928,4.980170924722238
5.30060120240481,-5.69939879759519,5.006953211240988
5.346693386773547,-5.653306613226453,5.033658934734983
5.3927855711422845,-5.6072144288577155,5.060285412951393
5.4388777555110215,-5.5611222444889785,5.086829960529277
5.484969939879759,-5.515030060120241,5.113289889435277
5.531062124248496,-5.468937875751504,5.13966250940181
5.577154308617234,-5.422845691382766,5.165945128367683
5.623246492985972,-5.376753507014028,5.192135052921003
5.669338677354709,-5.330661322645291,5.218229588744314
5.715430861723447,-5.284569138276553,5.244226041061831
5.761523046092184,-5.238476953907816,5.270121715088702
5.807615230460922,-5.192384769539078,5.295913916482171
5.853707414829659,-5.146292585170341,5.321599951794547
5.8997995991983965,-5.1002004008016035,5.347177128927892
5.945891783567134,-5.054108216432866,5.372642757590291
5.991983967935871,-5.008016032064129,5.397994149753631
6.038076152304609,-4.961923847695391,5.423228620112768
6.084168336673346,-4.915831663326654,5.448343486545976
6.130260521042084,-4.869739478957916,5.47333607057657
6.176352705410821,-4.823647294589179,5.498203697835603
6.222444889779559,-4.777555110220441,5.522943698525518
6.268537074148297,-4.731462925851703,5.5475534078846565
6.314629258517034,-4.685370741482966,5.572030166652506
6.3607214428857715,-4.6392785571142285,5.59637132153557
6.406813627254508,-4.593186372745492,5.620574225673773
6.452905811623246,-4.547094188376754,5.644636239107261
6.498997995991983,-4.501002004008017,5.668554729243506
6.545090180360721,-4.454909819639279,5.692327071324591
6.591182364729459,-4.408817635270541,5.7159506488945695
6.637274549098196,-4.362725450901804,5.739422854266778
6.683366733466934,-4.316633266533066,5.762741088991002
6.729458917835671,-4.270541082164329,5.785902764320368
6.775551102204409,-4.224448897795591,5.808905301677851
6.821643286573146,-4.178356713426854,5.831746133122291
6.867735470941883,-4.132264529058117,5.854422701813792
6.913827655310621,-4.086172344689379,5.876932462478409
6.959919839679358,-4.040080160320642,5.8992728818719655
7.006012024048096,-3.993987975951904,5.92144143924296
7.052104208416833,-3.947895791583167,5.943435626794351
7.098196392785571,-3.901803607214429,5.9652529501442055
7.144288577154308,-3.855711422845692,5.986890928785016
7.190380761523046,-3.8096192384769543,6.008347096541615
7.236472945891784,-3.7635270541082164,6.029619002027559
7.2825651302605205,-3.7174348697394795,6.050704209099872
7.328657314629258,-3.6713426853707416,6.071600297312023
7.374749498997995,-3.6252505010020046,6.092304862365038
7.420841683366733,-3.579158316633267,6.112815516556633
7.46693386773547,-3.53306613226453,6.133129889228224
7.513026052104208,-3.486973947895792,6.153245627209747
7.559118236472946,-3.440881763527054,6.173160395262145
7.605210420841683,-3.394789579158317,6.192871876517407
7.651302605210421,-3.3486973947895793,6.212377772916072
7.697394789579158,-3.3026052104208423,6.2316758056420465
7.7434869739478955,-3.2565130260521045,6.250763715554682
7.7895791583166325,-3.2104208416833675,6.26963926361793
7.83567134268537,-3.1643286573146296,6.288300231326519
7.881763527054108,-3.118236472945892,6.30674442112904
7.927855711422845,-3.072144288577155,6.324969656847782
7.973947895791583,-3.026052104208417,6.342973784095283
8.02004008016032,-2.979959919839679,6.36075467068742
8.066132264529058,-2.933867735470942,6.378310207052985
8.112224448897795,-2.887775551102205,6.395638306639593
8.158316633266532,-2.841683366733468,6.412736906315858
8.20440881763527,-2.7955911823647295,6.4296039667697125
8.250501002004007,-2.7494989979959925,6.446237472902761
8.296593186372744,-2.7034068136272555,6.462635434220579
8.342685370741483,-2.657314629258517,6.478795885218847
8.38877755511022,-2.61122244488978,6.494716885765213
8.434869739478957,-2.565130260521043,6.5103965214768085
8.480961923847694,-2.519038076152306,6.52583290409328
8.527054108216433,-2.472945891783567,6.541024171845279
8.57314629258517,-2.42685370741483,6.555968489818267
8.619238476953907,-2.3807615230460932,6.570664050311597
8.665330661322646,-2.3346693386773545,6.585109073192731
8.711422845691382,-2.2885771543086175,6.599301806246502
8.75751503006012,-2.2424849699398806,6.613240525519366
8.803607214428856,-2.1963927855711436,6.626923535658515
8.849699398797595,-2.150300601202405,6.640349170245771
8.895791583166332,-2.104208416833668,6.653515792126179
8.941883767535069,-2.058116232464931,6.666421793731222
8.987975951903808,-2.012024048096192,6.679065597396525
9.034068136272545,-1.9659318637274552,6.691445655674037
9.080160320641282,-1.9198396793587182,6.703560451638536
9.126252505010019,-1.8737474949899813,6.715408499188426
9.172344689378757,-1.8276553106212425,6.726988343340724
9.218436873747494,-1.7815631262525056,6.738298560520146
9.264529058116231,-1.7354709418837686,6.74933775884226
9.31062124248497,-1.6893787575150299,6.760104578390561
9.356713426853707,-1.643286573146293,6.770597691487477
9.402805611222444,-1.597194388777556,6.78081580295915
9.448897795591181,-1.551102204408819,6.790757650393987
9.49498997995992,-1.5050100200400802,6.800422004394879
9.541082164328657,-1.4589178356713433,6.809807668825011
9.587174348697394,-1.4128256513026063,6.818913481047239
9.633266533066132,-1.3667334669338675,6.827738312156927
9.67935871743487,-1.3206412825651306,6.836281067208193
9.725450901803606,-1.2745490981963936,6.844540685433531
9.771543086172343,-1.2284569138276566,6.85251614045669
9.817635270541082,-1.182364729458918,6.860206440498834
9.863727454909819,-1.136272545090181,6.867610628577841
9.909819639278556,-1.090180360721444,6.87472778270076
9.955911823647295,-1.0440881763527052,6.881557016049323
10.002004008016032,-0.9979959919839683,6.888097477158491
10.048096192384769,-0.9519038076152313,6.894348350087984
10.094188376753506,-0.9058116232464943,6.900308854586721
10.140280561122244,-0.8597194388777556,6.90597824625017
10.186372745490981,-0.8136272545090186,6.911355816670517
10.232464929859718,-0.7675350701402817,6.916440893579667
10.278557114228457,-0.7214428857715429,6.92123284098498
10.324649298597194,-0.675350701402806,6.925731059297755
10.370741482965931,-0.629258517034069,6.929934985454394
10.416833667334668,-0.583166332665332,6.9338440930302365
